City_Name,Country Codes,Lat,Lng,Date,Max_Temp,Cloudiness,Humidty,Wind Speed
Castro,CL,-50.538115642365995,-94.87224148152744,1551652401,48.5,92,99,22.97
San Patricio,MX,4.803931138356049,-116.60821174511025,1551652401,82.43,76,96,16.71
Atuona,PF,0.3337390444417423,-125.07174775585685,1551652401,79.6,56,100,10.0
Kropotkin,RU,59.241982077151334,117.61094835384398,1551652402,11.11,68,84,3.4
Norman Wells,CA,77.32606632216914,-121.05453701421962,1551652402,-3.21,44,75,23.87
Mataura,PF,-60.74434627120927,-150.7819566628492,1551652403,36.8,92,94,8.32
Kapaa,US,34.65288629629711,-167.96903877707544,1551652404,56.78,76,99,18.05
Inirida,CO,3.111994801000236,-67.99854087128666,1551652405,78.65,12,86,2.62
Arraial Do Cabo,BR,-27.70670293177656,-38.964818003701055,1551652406,76.54,92,100,1.39
Soyo,AO,-9.074412440379149,6.5165205331704215,1551652407,81.26,88,100,7.99
Barentsburg,SJ,81.02447745369179,-0.7411735406273294,1551652407,-10.27,48,70,20.51
Urumqi,CN,43.78095891756681,89.93738639102952,1551652408,6.16,20,48,2.62
Chiang Klang,TH,19.89878613230347,101.19905677706197,1551652409,66.23,36,77,2.95
Jamestown,SH,-29.172800376435156,-17.879135099959996,1551652410,77.35,44,100,5.64
Itarema,BR,8.727127561749484,-35.69856494952194,1551652410,77.26,12,100,21.07
Tsihombe,MG,-48.38867914492129,45.64975700323902,1551652410,43.69,36,98,23.2
Ribeira Grande,PT,42.74270197245994,-34.50390864229843,1551652411,54.8,92,100,24.43
Pertuis,FR,43.6167570322001,5.493750303216217,1551652411,53.01,0,81,4.7
The Valley,AI,23.001278594803793,-61.067619751681036,1551652413,76.45,88,98,15.48
Kavieng,PG,1.443166388226814,150.72235067504283,1551652414,84.68,8,100,3.06
Sanmenxia,CN,34.948961537532185,111.52528691384401,1551652415,31.36,68,78,2.51
Hobart,AU,-52.13448048047022,146.66720769531173,1551652415,47.47,92,88,35.72
Krasnoslobodsk,RU,54.25795054601335,43.742322681042396,1551652416,26.23,80,91,11.9
Chuy,UY,-47.07658278871312,-37.60875362076146,1551652416,47.11,24,100,26.89
Lebu,CL,-36.6310580111701,-87.88170795388697,1551652417,65.11,64,100,15.26
East London,ZA,-37.57103359922036,30.173425336279877,1551652417,70.28,92,95,20.07
Narsaq,GL,75.87461090605476,-64.94582504449285,1551652418,6.56,48,95,9.66
Saint George,BM,28.28994262605663,-60.9229096435442,1551652418,72.04,24,100,6.76
Kodiak,US,43.912863287353275,-153.9138083499373,1551652419,46.48,80,100,10.45
Bathsheba,BB,17.93804061540716,-52.78472830045274,1551652419,75.5,92,100,19.39
Upernavik,GL,80.4754320941054,-57.489056323145036,1551652420,-16.39,0,62,19.51
Busselton,AU,-83.59051348681041,84.33162913089387,1551652421,-43.71,8,0,15.7
Port Lincoln,AU,-35.01510742116112,136.02992256038408,1551652421,68.48,0,100,12.46
Ukiah,US,34.24592381049766,-131.77905189406485,1551652422,55.61,8,100,10.89
Asau,TV,-14.03227341433201,178.93824753865607,1551652422,84.86,44,99,15.48
Winsum,NL,53.3127677999301,6.553386175740997,1551652394,52.0,20,87,21.92
Luderitz,NA,-27.605546450083672,2.2540313871148783,1551652423,75.19,92,98,13.47
Albany,AU,-46.19005530159197,116.38872039936399,1551652424,48.28,44,100,39.75
Rikitea,PF,-23.116366036643,-130.4528446422444,1551652424,80.68,68,100,11.79
Kavaratti,IN,9.734209842045459,66.09628843600652,1551652425,80.14,88,100,9.22
Leh,IN,36.37660566534667,81.29784496232338,1551652425,23.26,64,64,4.63
Mar Del Plata,AR,-53.5418857315065,-43.09818437059812,1551652426,38.02,0,100,0.38
Hermanus,ZA,-78.86447143969431,-5.06024799806471,1551652427,-33.9,20,44,12.24
Bredasdorp,ZA,-52.4535340505131,19.72277170143093,1551652427,37.21,88,95,24.2
Burnie,AU,-42.83318373328244,143.17700741757818,1551652428,60.16,92,96,19.17
Beckley,US,38.14818516002296,-80.9972533762085,1551652235,41.0,90,93,3.36
Luwuk,ID,-1.6560736201385993,123.80733236186961,1551652429,84.23,32,97,8.66
Hilo,US,26.75604927475898,-141.06434992396217,1551652429,67.85,0,99,24.09
Belushya Guba,RU,69.534021757331,51.576937382515155,1551652430,17.45,76,100,22.86
Cape Town,ZA,-55.34016419921474,-3.262352102446414,1551652430,34.87,48,97,24.87
Marcona,PE,-23.00648819455914,-84.16789372379921,1551652431,69.61,24,100,18.28
Vao,NC,-25.42855938427931,172.64783769726256,1551652432,78.34,64,99,24.09
Qaanaaq,GL,80.75585960916149,-83.06920226896442,1551652433,-35.52,20,61,0.94
Ischia,IT,40.664845973470534,13.993164118466694,1551652384,55.0,0,87,2.24
Araouane,ML,18.865179006825613,-2.942784216608345,1551652434,54.26,0,34,5.08
Punta Arenas,CL,-77.27972132015422,-108.11896390547855,1551652434,-3.79,0,65,18.28
Labuhan,ID,-10.12838115988869,100.68998475504719,1551652436,82.16,44,100,19.73
Ushuaia,AR,-72.7508461613975,-48.19227419156715,1551652436,20.78,92,87,10.11
Grand River South East,MU,-26.93313350976956,78.79932828649248,1551652440,77.44,76,100,23.76
Henties Bay,NA,-21.78167565701125,3.924536043098584,1551652441,75.37,8,96,18.95
Sinnamary,GF,14.489401784441455,-47.25199715696684,1551652442,76.54,68,99,21.18
Tuatapere,NZ,-50.40951326844093,159.76283757985675,1551652442,51.2,76,96,26.66
Padang,ID,-7.554055426762034,90.7169536139761,1551652442,83.51,88,100,15.26
Dikson,RU,86.12143534117331,81.5444245548174,1551652443,-10.14,44,69,3.62
Mehamn,NO,85.54981431619873,30.06589414602945,1551652444,-12.3,64,77,8.99
Pishva,IR,35.314323440197214,52.01213655962874,1551652448,27.53,0,64,3.62
Caravelas,BR,-25.773548994566823,-22.580144810294968,1551652449,78.88,44,100,13.13
Longyearbyen,SJ,85.00183394547807,21.10600733865877,1551652449,-12.75,80,79,11.79
Sur,OM,17.971728243290997,59.48169746610628,1551652450,76.72,12,98,3.74
Cayenne,GF,12.455140461208188,-46.30152285567357,1551652450,76.72,64,99,20.51
Mizdah,LY,29.38369167492351,12.30731401919968,1551652451,42.83,0,60,3.4
Torbay,CA,36.908381325214904,-50.0127118674186,1551652451,64.57,24,96,29.8
Flinders,AU,-31.875124206152172,128.39846682623573,1551652452,71.5,20,74,7.65
Teya,RU,61.1157461930712,89.77296978350131,1551652453,26.32,92,85,10.78
Maragogi,BR,-17.5097252012052,-24.79550880296742,1551652454,81.22,92,100,12.24
Nouakchott,MR,17.86972949472512,-15.064927743798592,1551652454,63.4,0,15,8.43
New Norfolk,AU,-85.3617614883717,129.92383231985752,1551652455,-49.69,0,0,15.03
Rocha,UY,-46.37111791916013,-43.57400668543542,1551652456,48.55,56,100,14.03
Fairbanks,US,71.70469557891235,-144.40600670282632,1551652457,19.03,48,93,18.16
Katsuura,JP,25.36464879079203,145.30486684646445,1551652457,74.92,32,95,14.03
Ambilobe,MG,-8.385847858381382,48.59300428323735,1551652458,83.92,88,99,7.87
Surgut,RU,60.73320961731554,73.87000010813327,1551652458,24.88,80,86,16.82
Bagua Grande,PE,-6.165948620880982,-78.33371639199167,1551652459,64.93,32,92,0.6
Khatanga,RU,82.03249222600252,101.10404501046423,1551652460,-8.43,44,64,4.18
Iqaluit,CA,60.70843111690266,-74.54225056118122,1551652461,-10.72,32,69,8.32
Nizhneyansk,RU,74.66671043792911,137.8733207803141,1551652461,-3.48,80,76,10.11
Tuktoyaktuk,CA,86.49015528134254,-121.43119612465532,1551652462,8.0,80,81,13.91
Wesselsbron,ZA,-28.229192361337624,26.25440885196872,1551652462,62.36,0,57,4.29
Havoysund,NO,78.04903823363404,25.04124025957259,1551652464,-4.02,24,76,33.82
Talnakh,RU,83.06795724384966,92.31647943780047,1551652464,-14.5,24,64,4.85
Ngukurr,AU,-17.37018322531567,137.1336428331299,1551652465,87.56,0,45,10.67
Port Alfred,ZA,-65.30000369259135,44.409261966651485,1551652465,31.58,88,100,19.73
Tasiilaq,GL,63.80991981001952,-34.841486528416596,1551652466,39.1,92,100,39.86
Kargil,IN,34.41076941320563,75.91060480573319,1551652466,-2.94,32,92,1.16
Ponta Do Sol,CV,22.637427875573266,-37.136774839561326,1551652467,71.77,48,100,17.49
Starokorsunskaya,RU,45.09334737823215,39.296038656022546,1551652217,30.0,0,86,4.47
Kharitonovo,RU,62.46321319367607,47.24798112434007,1551652468,-5.55,0,67,2.62
Paranga,RU,56.855747829780455,49.43467228873496,1551652469,16.06,80,84,4.18
Gao,ML,15.813178756157058,-1.232968471611116,1551652470,56.56,0,29,3.06
Fredonia,US,42.38047767003346,-79.30456487116975,1551652446,28.0,90,85,3.36
Dingle,IE,52.21870592063274,-14.982229266369131,1551652471,43.51,92,100,17.49
Harper,LR,3.202290398050039,-8.125304311353233,1551652472,84.19,0,100,6.42
Ayagoz,KZ,48.9285807944961,78.3184750303285,1551652472,16.96,0,83,5.3
Cairns,AU,-14.194864842945421,146.07646237783018,1551652473,82.66,20,98,19.62
Suihua,CN,46.95275694798096,126.95569862998065,1551652474,28.88,0,47,2.84
Pravia,ES,44.51750271843727,-6.489817242472213,1551652474,54.67,0,97,43.11
Victoria,SC,-2.42054641391087,54.14520794758522,1551652475,81.98,8,100,8.32
Paucartambo,PE,-11.854198880515582,-71.25665328761859,1551652475,77.93,20,89,2.51
Dire,ML,11.897404825787248,-10.72852578249072,1551652476,61.6,0,53,4.18
Airai,PW,15.505150852045688,139.38320030992884,1551652476,79.33,88,100,12.24
Eureka,US,40.63688313956075,-134.1850966697915,1551652476,48.73,48,100,14.58
Beaverlodge,CA,54.10865871391118,-119.74064324967823,1551652214,12.99,0,43,4.0
Congonhas,BR,-20.505603310020305,-43.97513722878881,1551646800,80.6,20,57,6.93
Bluff,NZ,-82.1985159652501,167.81180895612312,1551652478,-7.39,8,61,7.43
Ostrovnoy,RU,80.05811785073362,42.057259801659654,1551652478,-3.07,0,100,3.74
